,DWH_CARDUP_PAYMENT_ID,CARDUP_PAYMENT_CUSTOMER_COMPANY_ID,CARDUP_PAYMENT_SUCCESS_AT_UTC_TS,CARDUP_PAYMENT_PAYEE_NAME,CARDUP_PAYMENT_PAYMENT_TYPE,CARDUP_PAYMENT_SCHEDULE_TYPE,CARDUP_PAYMENT_USD_AMT,CARDUP_PAYMENT_NET_REVENUE_USD_AMT,CARDUP_PAYMENT_TOTAL_REVENUE_USD_AMT,PAYEE_NAME_WITH_SPACES,tokens,tokens_corpus
279,8405c05b6621e0425889fd23c2ef64a3,,2024-05-03 10:01:00,136974_TRIPLE 3 NINE CONSULTING,Misc,recurring,7583.8,40.5581624,140.3003, triple  nine consulting,"['triple', 'nine', 'consulting']",triple nine consulting
306,010f9747a0906c87fdf08edd81374fbd,,2024-07-16 04:06:36,94027_MERCEDES-BENZ FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a DAIMLER FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a AUTOFLEET PACIFIC PTE. LTD.,Misc,recurring,2483.7627542,12.209918,44.706501, mercedesbenz fleet management    fka daimler fleet management    fka autofleet pacific  ,"['mercedesbenz', 'fleet', 'management', 'fka', 'daimler', 'fleet', 'management', 'fka', 'autofleet', 'pacific']",mercedesbenz fleet management fka daimler fleet management fka autofleet pacific
342,12b60393988a42888b59eb2dfacc254c,,2024-05-28 15:03:18,202558_Maplebear Learning Ladder Pte Ltd,Misc,recurring,1236.1594,5.8698612,22.8727408, maplebear learning ladder  ,"['maplebear', 'learning', 'ladder']",maplebear learning ladder
346,abcc08de3520cb840aa76c41f7b9a442,,2024-05-16 04:15:43,200143_OCBC Bank,Misc,recurring,5427.6725734,28.9852836,100.409512, ocbc bank,"['ocbc', 'bank']",ocbc bank
351,ffcf0af65f2da5e3250c29ca1398f10e,,2024-07-08 10:01:59,220495_Season Bus Services Co Pte Ltd,Misc,recurring,1446.4505902,7.7658112,26.7556464, season bus services co  ,"['season', 'bus', 'services', 'co']",season bus services co
368,6e31d80251f2a6bd6ec66028e056da0f,,2024-09-09 10:12:14,238274_ CIRCULAR LAW CHAMBERS LLP,Misc,recurring,2528.43892,8.6531158,42.9849784,  circular law chambers ,"['circular', 'law', 'chambers']",circular law chambers
377,4c92b694a5d3fcaf8ab4ea083cea5b2d,,2024-05-17 06:33:03,74094_Mercedes-Benz Fleet Management Singapore Pte Ltd,Misc,recurring,2688.495019,34.1877704,69.8998846, mercedesbenz fleet management   ,"['mercedesbenz', 'fleet', 'management']",mercedesbenz fleet management
388,f615dc2fef98dad83ef977d696dc50b4,,2023-11-15 04:02:13,94027_MERCEDES-BENZ FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a DAIMLER FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a AUTOFLEET PACIFIC PTE. LTD.,Misc,recurring,2460.981019,11.8610632,44.2969758, mercedesbenz fleet management    fka daimler fleet management    fka autofleet pacific  ,"['mercedesbenz', 'fleet', 'management', 'fka', 'daimler', 'fleet', 'management', 'fka', 'autofleet', 'pacific']",mercedesbenz fleet management fka daimler fleet management fka autofleet pacific
395,3e259e55c499772d58666f148556b4e5,,2024-03-25 10:01:51,181027_BRILLIANT TOTS JUNIOR PTE. LTD,Misc,recurring,1061.732,5.5589254,19.642042, brilliant tots junior  ,"['brilliant', 'tots', 'junior']",brilliant tots junior
408,79109e1d270fd9ae2ca80836ecadf582,,2024-09-30 04:08:34,210411_FLYWIRE (SINGAPORE) PTE. LTD.,Misc,recurring,1403.003,7.5382972,25.9593474, flywire   ,['flywire'],flywire
411,103c8abab10ce2addddcb0bf47d0d9e3,,2024-07-22 15:06:12,136974_TRIPLE 3 NINE CONSULTING,Misc,recurring,2230.39558,12.058242,41.2634558, triple  nine consulting,"['triple', 'nine', 'consulting']",triple nine consulting
428,c7767b4d9067b86e3c62f1548210f2b8,,2024-07-11 10:42:05,185375_Dalvey Breeze Development Pte Ltd-Maintenance Fund,Misc,recurring,8636.43144,42.6664588,159.7754984, dalvey breeze development  maintenance fund,"['dalvey', 'breeze', 'development', 'maintenance', 'fund']",dalvey breeze development maintenance fund
433,14dfd4b336643cc0d24d2db6c627bdb5,,2024-05-28 15:05:33,76308_VINCAR LEASING AND RENTAL PTE LTD,Misc,recurring,3264.8259,17.3744858,60.3973832, vincar leasing and rental  ,"['vincar', 'leasing', 'rental']",vincar leasing rental
457,9b6bb1d42200ddde1a90e8bb8804e949,,2024-01-29 04:01:26,78590_Kinto Singapore Pte Ltd,Misc,recurring,2056.6658896,26.126191,53.4733738, kinto   ,['kinto'],kinto
477,6e1fcad6aa31c3dbb3c33fa5349f5408,,2024-07-30 07:00:31,198130_Leads Global Pte Ltd,Misc,recurring,2121.18886,11.4591218,39.2385812, leads global  ,"['leads', 'global']",leads global
508,b5981198fabc0b5cc7655f8f2dffba90,,2024-07-22 04:01:37,142076_CREV Consultancy Pte Ltd,Misc,recurring,2123.464,27.1955068,55.210064, crev consultancy  ,"['crev', 'consultancy']",crev consultancy
550,31d043e353075d6e59fb9e5d49d1cbb8,,2024-03-01 04:01:16,137852_SIPM CONSULTANTS PTE. LTD.,Misc,recurring,5071.7648394,14.5457284,81.14666, sipm consultants  ,"['sipm', 'consultants']",sipm consultants
563,90a08a34508f9147117c33005bf3e51c,,2024-09-03 15:00:53,236492_The Medical Protection Society Ltd ,Misc,recurring,1395.4192,7.4927944,25.8152552, the medical protection society  ,"['medical', 'protection', 'society']",medical protection society
588,41665eed81d0f6021e87a9b924125fc0,,2024-09-30 15:04:39,245039_PEM Confinement Nanny Agency Pte Ltd,Misc,recurring,1302.89684,6.9846798,24.1013164, pem confinement nanny agency  ,"['pem', 'confinement', 'nanny', 'agency']",pem confinement nanny agency
594,5ff1f25e2e6eb48bece3d3b500e0d0b0,,2023-10-04 04:02:33,111887_Shaws CDLC @ Mountbatten Pte. Ltd.,Misc,recurring,1611.5575,20.2790812,41.900495, shaws cdlc  mountbatten  ,"['shaws', 'cdlc', 'mountbatten']",shaws cdlc mountbatten
597,5de451663a61ef0f089641ddf893e9aa,,2024-01-02 04:09:30,123893_Aveo Pte Ltd,Misc,recurring,1873.1986,9.9196104,34.657966, aveo  ,['aveo'],aveo
599,a10a6cab02206dfbc32102029d1c37e1,,2024-02-23 04:01:24,61507_CL LEASING PTE. LTD.,Misc,recurring,1335.052152,16.911874,34.7110526, cl leasing  ,"['cl', 'leasing']",cl leasing
609,4907aa6f8164a315c057aadb6882e6af,,2024-08-06 15:01:40,229551_OPTIMA CARZ LEASING PTE. LTD. f.k.a OPTIMA CARZ PTE. LTD.,Misc,recurring,1405.27814,17.9508546,36.5387484, optima carz leasing   fka optima carz  ,"['optima', 'carz', 'leasing', 'fka', 'optima', 'carz']",optima carz leasing fka optima carz
625,e3df7dc7673985e9603a08034d525fd7,,2023-12-19 15:02:52,159149_PROPFUNNELS PTE. LIMITED,Misc,recurring,2730.168,14.5078094,50.508108, propfunnels  ,['propfunnels'],propfunnels
656,f3e81c7bf98fb5a9a5a146e272381a98,,2024-08-28 04:00:34,63405_Seah Yoke Leng Janice,Misc,recurring,2275.89838,29.159711,59.1763914, seah yoke leng janice,"['seah', 'yoke', 'leng', 'janice']",seah yoke leng janice
673,9f24cf2019540c28ecc3aec951787fb6,,2024-09-10 15:48:03,239699_PKS FURNITURE  & WOODWORKS,Misc,recurring,6067.04,33.0122814,112.24024, pks furniture   woodworks,"['pks', 'furniture', 'woodworks']",pks furniture woodworks
683,efc24fc1bd3ed50795d619d3fd911afd,,2024-05-28 15:02:48,97759_Yu Yi Optic LLP,Misc,recurring,7583.8,40.5429948,140.3003, yu yi optic ,"['yu', 'yi', 'optic']",yu yi optic
711,bde751ce42bf40c850595bcf3aeed8e8,,2024-04-02 04:03:10,137852_SIPM CONSULTANTS PTE. LTD.,Misc,recurring,5071.7648394,14.5457284,81.14666, sipm consultants  ,"['sipm', 'consultants']",sipm consultants
725,442c7ea2ac54ad95c33bbc220690d1de,,2024-03-25 08:14:39,17463_Ibraco Bhd,Misc,recurring,10890.3368,91.93840133296,174.2453888, ibraco ,['ibraco'],ibraco
733,3a8c06dc79dcdef766e92d1dd5b5c5de,,2024-04-22 04:08:41,189688_Vigeo Health and Fitness Pte Ltd,Misc,recurring,1314.5152216,6.9240094,24.3212466, vigeo health and fitness  ,"['vigeo', 'health', 'fitness']",vigeo health fitness
751,b86e2c52369ae44bfee163b1f6103ede,,2024-08-27 07:01:28,232675_GYMWITHJONES PTE. LTD,Misc,recurring,1911.1176,10.313968,35.3556756, gymwithjones  ,['gymwithjones'],gymwithjones
807,8cb118aace8e25795aae110af5b0b82b,,2024-03-19 04:15:32,74094_Mercedes-Benz Fleet Management Singapore Pte Ltd,Misc,recurring,2688.495019,14.2802954,49.7345604, mercedesbenz fleet management   ,"['mercedesbenz', 'fleet', 'management']",mercedesbenz fleet management
818,1c58a80877265a0070acc8e2adf78dcc,,2024-01-22 04:16:32,22507_MOVA Automotive Pte Ltd,Misc,recurring,2066.5855,10.9510072,38.2299358, mova automotive  ,"['mova', 'automotive']",mova automotive
831,673b9e1d36ecfae96a8a18ec9a3504bf,,2024-08-27 04:30:10,202558_Maplebear Learning Ladder Pte Ltd,Misc,recurring,1236.1594,5.9987858,22.8727408, maplebear learning ladder  ,"['maplebear', 'learning', 'ladder']",maplebear learning ladder
848,2bf3ef48cf9b3bb6862602d600cc1eba,,2023-10-24 04:05:32,47912_The American Club ,Misc,recurring,1137.57,3.0486876,18.20112, the american club ,"['american', 'club']",american club
855,337a9212621ef5a12257ed44576d36da,,2024-07-30 07:00:31,220212_High Speed Credit Pte Ltd,Misc,recurring,1137.57,-0.8114666,25.595325, high speed credit  ,"['high', 'speed', 'credit']",high speed credit
862,128eab399ae052076e727844cc03891c,,2024-08-13 04:21:06,82992_O2 Digital,Misc,recurring,12815.86362,69.8923008,237.0923394, o digital,['digital'],digital
867,f7a8297c1b8a8788cc1031b6d1685c28,,2024-08-06 15:03:54,159149_PROPFUNNELS PTE. LIMITED,Misc,recurring,8797.208,47.929616,162.748348, propfunnels  ,['propfunnels'],propfunnels
883,ecbc6c56b452fb1f8ba2f333b9d4bd10,,2024-09-03 04:14:31,211983_FWD Singapore Pte. Ltd.,Misc,recurring,1516.76,8.1601688,28.06006, fwd   ,['fwd'],fwd
905,cb626303667b96d77d8bdd6c3aa661a1,,2024-07-17 04:01:55,47912_The American Club ,Misc,recurring,1137.57,3.2762016,18.20112, the american club ,"['american', 'club']",american club
907,fd0335f1cfbd63fcae47e0fe1a11c4e0,,2024-05-10 04:03:23,22507_MOVA Automotive Pte Ltd,Misc,recurring,2066.5855,10.9510072,38.2299358, mova automotive  ,"['mova', 'automotive']",mova automotive
921,c5020b50062786edac82656fcb6610e1,,2023-11-07 04:03:00,93509_HONG LEONG FINANCE LIMITED f.k.a HONG LEONG SINGAPORE FINANCE LIMITED f.k.a SINGAPORE FINANCE LIMITED,Misc,recurring,1625.96672,8.5848616,30.0773508, hong leong finance  fka hong leong  finance  fka  finance ,"['hong', 'leong', 'finance', 'fka', 'hong', 'leong', 'finance', 'fka', 'finance']",hong leong finance fka hong leong finance fka finance
980,fc815025eb6d8ba36c71fb952361c155,,2024-06-11 14:45:04,209632_JUSEQUITY LAW CORPORATION,Misc,recurring,6376.07985,34.7034688,117.9584252, jusequity law corporation,"['jusequity', 'law', 'corporation']",jusequity law corporation
981,adfdbc70c758812e89594e3a2901fb36,,2023-11-21 04:25:28,22507_MOVA Automotive Pte Ltd,Misc,recurring,2047.626,10.8524178,37.881081, mova automotive  ,"['mova', 'automotive']",mova automotive
982,2e60c2eef4e2a9fbc46089370a582b67,,2023-10-27 04:01:06,57205_ST AUTO PTE LTD,Misc,recurring,1962.68744,24.723188,51.0313902, st auto  ,"['st', 'auto']",st auto
1014,be6a68a9a27b0c64fb173f55195c55a2,,2024-08-20 04:05:16,74094_Mercedes-Benz Fleet Management Singapore Pte Ltd,Misc,recurring,2688.495019,34.4607872,69.8998846, mercedesbenz fleet management   ,"['mercedesbenz', 'fleet', 'management']",mercedesbenz fleet management
1043,e43418bda4f0cb424728b21a5f310eec,,2023-12-28 04:07:33,147656_CYCLE & CARRIAGE LEASING PTE. LTD.,Misc,recurring,1895.95,-1.0313968,42.658875, cycle  carriage leasing  ,"['cycle', 'carriage', 'leasing']",cycle carriage leasing
1071,0a16c692da2d8d58c9b6eaeaf68ac305,,2023-12-05 04:12:43,147412_Star Performance Motor Pte Ltd,Misc,recurring,5946.45758,31.7533706,110.0106028, star performance motor  ,"['star', 'performance', 'motor']",star performance motor
1086,d70359e403d9587c2b0c627bbf0fefec,,2024-06-21 15:24:05,181068_SG EVENT RENTAL SERVICES PTE LTD,Misc,recurring,4474.442,57.447285,116.335492, sg event rental services  ,"['sg', 'event', 'rental', 'services']",sg event rental services
1100,42a8746f55ce3fc274dff047e79798a8,,2024-09-04 04:17:00,223764_Nomads Design Studio,Misc,recurring,7583.8,41.3013748,140.3003, nomads design studio,"['nomads', 'design', 'studio']",nomads design studio
1104,2f96b5997a20cd8f8f61c3bd74199f45,,2023-10-20 04:18:30,142076_CREV Consultancy Pte Ltd,Misc,recurring,2123.464,26.7556464,55.210064, crev consultancy  ,"['crev', 'consultancy']",crev consultancy
1112,be593b892318bba79fef02326c1d1551,,2024-09-26 04:22:03,202558_Maplebear Learning Ladder Pte Ltd,Misc,recurring,1236.1594,5.9987858,22.8727408, maplebear learning ladder  ,"['maplebear', 'learning', 'ladder']",maplebear learning ladder
1122,e154db6d8768dc0986b8906caef06212,,2024-07-15 15:01:16,218845_DOLPHIN FINANCIAL PTE LTD,Misc,recurring,3791.9,27.1727554,81.52585, dolphin financial  ,"['dolphin', 'financial']",dolphin financial
1127,bc96b4f010bfcabc9dcd10756f093721,,2023-11-16 15:00:58,133366_Life Mastery Coaching Singapore LLP,Misc,recurring,1592.598,8.4104342,29.463063, life mastery coaching  ,"['life', 'mastery', 'coaching']",life mastery coaching
1128,ab8e437c908b7bee064ef60ed047a636,,2024-09-27 04:07:29,82992_O2 Digital,Misc,recurring,15167.6,82.7695932,280.6006, o digital,['digital'],digital
1138,c65dd4b8e5503b1ab1ddfdab7c28bf1b,,2024-03-11 15:00:49,176929_Anticimex Pest Management Pte Ltd,Misc,recurring,975.428356,4.6185342,17.556497, anticimex pest management  ,"['anticimex', 'pest', 'management']",anticimex pest management
1140,c297da73c4a324ed3cbbe31652647d10,,2024-01-03 04:07:06,92003_ BOWERMAN INTERIOR PLANNER,Misc,recurring,4882.3290992,26.0427692,90.323058,  bowerman interior planner,"['bowerman', 'interior', 'planner']",bowerman interior planner
1163,59c402e82f9568337ef6bc825da32660,,2024-09-13 04:01:08,131934_STANDARD CHARTERED BANK (SINGAPORE) LIMITED,Misc,recurring,1875.8756814,6.4158948,30.9494878, standard chartered bank  ,"['standard', 'chartered', 'bank']",standard chartered bank
1165,42a22780aa009735574020f6843c2c6f,,2024-07-11 04:06:20,212911_NTUC Health Co-operative Ltd,Misc,recurring,1065.7438302,5.6954338,19.71788, ntuc health cooperative ,"['ntuc', 'health', 'cooperative']",ntuc health cooperative
1189,44b1ef41f24ed168cfb0eaae8553487c,,2023-11-28 04:36:53,147412_Star Performance Motor Pte Ltd,Misc,recurring,5946.45758,31.7609544,110.0106028, star performance motor  ,"['star', 'performance', 'motor']",star performance motor
1196,5dac51f656b677219a59c11c91994d8b,,2024-06-18 04:04:33,74094_Mercedes-Benz Fleet Management Singapore Pte Ltd,Misc,recurring,2688.495019,34.4607872,69.8998846, mercedesbenz fleet management   ,"['mercedesbenz', 'fleet', 'management']",mercedesbenz fleet management
1202,1840a657bb1fb6eb8c7aeadecb77b616,,2024-06-10 15:21:05,210942_GLOW WITH GRACE,Misc,recurring,8626.5725,46.9968086,159.5934872, glow with grace,"['glow', 'grace']",glow grace
1217,44726e608adfa2fc5ee259d995368e3e,,2024-05-14 04:01:42,131934_STANDARD CHARTERED BANK (SINGAPORE) LIMITED,Misc,recurring,1875.8756814,6.218716,30.9494878, standard chartered bank  ,"['standard', 'chartered', 'bank']",standard chartered bank
1240,d80c8dea71b36ca54208300c9ca1285f,,2024-06-12 04:06:23,211530_PERTINENT LAW LLP,Misc,recurring,1137.57,6.0822076,21.045045, pertinent law ,"['pertinent', 'law']",pertinent law
1366,72091b544e3d8961b6fdad63b6dfdd31,,2024-06-26 15:03:14,97759_Yu Yi Optic LLP,Misc,recurring,7583.8,41.3013748,140.3003, yu yi optic ,"['yu', 'yi', 'optic']",yu yi optic
1378,6f0b16ca15a351529a717cfbd0e64543,,2024-01-29 04:00:47,57205_ST AUTO PTE LTD,Misc,recurring,1962.68744,24.9279506,51.0313902, st auto  ,"['st', 'auto']",st auto
1448,672e2ad3068b8d5e759c44efb014f2b5,,2024-05-16 04:03:11,47912_The American Club ,Misc,recurring,1137.57,3.1624446,18.20112, the american club ,"['american', 'club']",american club
1467,07f465867b43ece64772ee41040f9478,,2024-06-11 04:32:41,116779_Yu Yi Optic LLP,Misc,recurring,7583.8,41.3013748,140.3003, yu yi optic ,"['yu', 'yi', 'optic']",yu yi optic
1480,2f3a64ed8e25c3b69086f3fe3c23373b,,2023-10-27 04:17:43,145478_Yew Mei Decoration Contractor ,Misc,recurring,7583.8,39.7694472,140.3003, yew mei decoration contractor ,"['yew', 'mei', 'decoration', 'contractor']",yew mei decoration contractor
1518,87f497a78be84e4c80b6ffdb4422636e,,2024-08-14 15:01:29,211976_Nifty Auto Service Pte Ltd,Misc,recurring,1124.222512,6.0063696,20.7947796, nifty auto service  ,"['nifty', 'auto', 'service']",nifty auto service
1526,3aa576c5863c9f92186150f4e7768433,,2024-01-31 17:06:07,92003_ BOWERMAN INTERIOR PLANNER,Misc,recurring,4882.3290992,26.050353,90.323058,  bowerman interior planner,"['bowerman', 'interior', 'planner']",bowerman interior planner
1540,34cad02bfc24b1f82acc180446d3b6c2,,2024-07-08 05:11:31,217175_Huttons Asia Pte Ltd,Misc,recurring,5373.1223,29.2279652,99.4008666, huttons asia  ,"['huttons', 'asia']",huttons asia
1564,d330d451970628062ec5567ccbae5be5,,2024-05-10 15:00:19,173963_HOCK CHUAN HENG CAR RENTAL & TRADING,Misc,recurring,910.056,4.7474588,16.836036, hock chuan heng car rental  trading,"['hock', 'chuan', 'heng', 'car', 'rental', 'trading']",hock chuan heng car rental trading
1584,0b2a7c41fb3f21ab2f3075556bbe86f0,,2024-07-01 15:04:49,198130_Leads Global Pte Ltd,Misc,recurring,2121.18886,11.4591218,39.2385812, leads global  ,"['leads', 'global']",leads global
1623,34b207cb5c152bb302184affc0773708,,2023-12-12 07:00:27,156784_MUSICAL TOUCH,Misc,recurring,1210.37448,6.3628082,22.3949614, musical touch,"['musical', 'touch']",musical touch
1663,4d196b6a7a64e2b4a17409409540d8dc,,2023-11-14 04:05:49,131934_STANDARD CHARTERED BANK (SINGAPORE) LIMITED,Misc,recurring,1875.8756814,6.2262998,30.9494878, standard chartered bank  ,"['standard', 'chartered', 'bank']",standard chartered bank
1677,af4a381986031c38216db4d72c3705fd,,2024-06-14 04:11:38,210942_GLOW WITH GRACE,Misc,recurring,8626.5725,62.4374254,175.2312828, glow with grace,"['glow', 'grace']",glow grace
1692,e057f036987f9335580e52e5d3274406,,2024-07-03 17:56:27,97759_Yu Yi Optic LLP,Misc,recurring,7583.8,41.3165424,140.3003, yu yi optic ,"['yu', 'yi', 'optic']",yu yi optic
1768,cc79edb3906537180184ef8579a67fb3,,2024-04-08 15:00:57,185375_Dalvey Breeze Development Pte Ltd-Maintenance Fund,Misc,recurring,8636.43144,46.185342,159.7754984, dalvey breeze development  maintenance fund,"['dalvey', 'breeze', 'development', 'maintenance', 'fund']",dalvey breeze development maintenance fund
1771,c73aac12a7e2ed25e935688c3f2dd00e,,2024-08-05 04:17:09,196751_Gem Floriculture Pte Ltd,Misc,recurring,1321.173798,3.602305,34.3470302, gem floriculture  ,"['gem', 'floriculture']",gem floriculture
1795,9de1372def3ff59da578145edce7b9e1,,2023-11-01 04:03:16,137852_SIPM CONSULTANTS PTE. LTD.,Misc,recurring,5025.9890226,14.4168038,80.4186152, sipm consultants  ,"['sipm', 'consultants']",sipm consultants
1805,c4f9a81e108923764c829ec27ecc0491,,2024-10-15 04:02:05,131934_STANDARD CHARTERED BANK (SINGAPORE) LIMITED,Misc,recurring,1875.8756814,6.0442886,30.9494878, standard chartered bank  ,"['standard', 'chartered', 'bank']",standard chartered bank
1817,e4df548a55e2db031fb85a87a1a4b692,,2024-05-06 10:02:22,76308_VINCAR LEASING AND RENTAL PTE LTD,Misc,recurring,1718.6862588,9.0853924,31.7988734, vincar leasing and rental  ,"['vincar', 'leasing', 'rental']",vincar leasing rental
1836,9167380e09995aeaec7229dc9710d2f1,,2024-08-21 14:06:07,136974_TRIPLE 3 NINE CONSULTING,Misc,recurring,7583.8,41.3165424,140.3003, triple  nine consulting,"['triple', 'nine', 'consulting']",triple nine consulting
1868,5b78a2a08904fff02817452de8bc783f,,2024-08-16 03:15:05,94027_MERCEDES-BENZ FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a DAIMLER FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a AUTOFLEET PACIFIC PTE. LTD.,Misc,recurring,2483.7627542,7.3107832,39.739112, mercedesbenz fleet management    fka daimler fleet management    fka autofleet pacific  ,"['mercedesbenz', 'fleet', 'management', 'fka', 'daimler', 'fleet', 'management', 'fka', 'autofleet', 'pacific']",mercedesbenz fleet management fka daimler fleet management fka autofleet pacific
1872,c6860361e551f4be4e197f13a7fc6c3c,,2024-08-15 04:11:00,206106_Integrative Manpower Solutions Pte Ltd,Misc,recurring,2625.246127,14.2120412,48.5666552, integrative manpower solutions  ,"['integrative', 'manpower', 'solutions']",integrative manpower solutions
1912,f347f7ba54e291aff355abe95101c4c2,,2024-09-11 04:11:52,137852_SIPM CONSULTANTS PTE. LTD.,Misc,recurring,5072.5232194,15.0765944,81.1618276, sipm consultants  ,"['sipm', 'consultants']",sipm consultants
1932,18d8abecad467f2f05b354b3382c93fc,,2024-03-07 10:00:51,133366_Life Mastery Coaching Singapore LLP,Misc,recurring,1592.598,8.4104342,29.463063, life mastery coaching  ,"['life', 'mastery', 'coaching']",life mastery coaching
1945,1ea55bfab356e1fe72210f5e92b47eb0,,2024-06-25 05:42:04,181068_SG EVENT RENTAL SERVICES PTE LTD,Misc,recurring,4474.442,24.3136628,82.777177, sg event rental services  ,"['sg', 'event', 'rental', 'services']",sg event rental services
1946,4c0bb3cd4f0a094bc3d6407d6eadb39e,,2024-05-27 15:01:18,61507_CL LEASING PTE. LTD.,Misc,recurring,1347.413746,17.06355,35.0295722, cl leasing  ,"['cl', 'leasing']",cl leasing
2034,81ed9777b27e094a1f355c1d86f7563c,,2024-10-11 10:02:08,249132_Maclife Solutions Pte Ltd,Misc,recurring,2305.4752,10.8751692,41.0359418, maclife solutions  ,"['maclife', 'solutions']",maclife solutions
2036,f97de8541532c56724421cb68900f4c3,,2024-03-26 04:00:56,57205_ST AUTO PTE LTD,Misc,recurring,1962.68744,24.9279506,51.0313902, st auto  ,"['st', 'auto']",st auto
2041,26e1b46b2e3fecbbbba38c4df1ad6b72,,2024-08-27 15:00:50,61507_CL LEASING PTE. LTD.,Misc,recurring,1347.413746,17.2076422,35.0295722, cl leasing  ,"['cl', 'leasing']",cl leasing
2042,9e38e5c3943464addd1889914b0ccd7c,,2024-03-27 04:00:24,63405_Seah Yoke Leng Janice,Misc,recurring,2275.89838,28.9246132,59.1763914, seah yoke leng janice,"['seah', 'yoke', 'leng', 'janice']",seah yoke leng janice
2043,a637b9a29a93f3b3c6043ed2836d12bf,,2023-12-13 04:01:49,131934_STANDARD CHARTERED BANK (SINGAPORE) LIMITED,Misc,recurring,1875.8756814,6.218716,30.9494878, standard chartered bank  ,"['standard', 'chartered', 'bank']",standard chartered bank
2065,c8b527bbca639ff6a08fd5468fef5e02,,2023-10-19 04:04:58,74094_Mercedes-Benz Fleet Management Singapore Pte Ltd,Misc,recurring,2663.8325014,13.878354,49.2795324, mercedesbenz fleet management   ,"['mercedesbenz', 'fleet', 'management']",mercedesbenz fleet management
2080,b78d87b549bf2f7cf5e8e722d6639291,,2024-07-03 04:13:16,136974_TRIPLE 3 NINE CONSULTING,Misc,recurring,7583.8,41.3013748,140.3003, triple  nine consulting,"['triple', 'nine', 'consulting']",triple nine consulting
2146,8ac7c49c63fdc2457cb3faf405cb6204,,2023-12-12 07:00:25,156783_LIGHTEDPIXELS PHOTOGRAPHY PTE. LTD.,Misc,recurring,1459.8815,7.697557,27.0059118, lightedpixels photography  ,"['lightedpixels', 'photography']",lightedpixels photography
2151,0aa084a2867a528c77bfe30b24b9303f,,2024-08-20 05:01:33,224055_POWER SOLUTION SERVICES PTE. LTD.,Misc,recurring,2953.6474184,16.0094018,54.641279, power solution services  ,"['power', 'solution', 'services']",power solution services
2153,6c35d17c4b125fd809df89812799501a,,2024-06-14 04:03:38,94027_MERCEDES-BENZ FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a DAIMLER FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a AUTOFLEET PACIFIC PTE. LTD.,Misc,recurring,2483.7627542,12.2175018,44.706501, mercedesbenz fleet management    fka daimler fleet management    fka autofleet pacific  ,"['mercedesbenz', 'fleet', 'management', 'fka', 'daimler', 'fleet', 'management', 'fka', 'autofleet', 'pacific']",mercedesbenz fleet management fka daimler fleet management fka autofleet pacific
2169,195791636ce6c9785ff34c0e161b7449,,2023-11-03 07:00:13,148126_Biohackk International Pte Ltd,Misc,recurring,3071.439,8.1677526,69.1111694, biohackk international  ,"['biohackk', 'international']",biohackk international
2221,c555d8311bbdf8f2d572ab1e82c1a1af,,2024-10-01 04:20:13,211983_FWD Singapore Pte. Ltd.,Misc,recurring,1516.76,8.1601688,28.06006, fwd   ,['fwd'],fwd
2238,b5735d8433056128faa6769af93de88e,,2024-08-12 04:02:55,22507_MOVA Automotive Pte Ltd,Misc,recurring,2066.5855,11.1557698,38.2299358, mova automotive  ,"['mova', 'automotive']",mova automotive
2258,8378088aada85487b28f2be42c0d5375,,2023-12-19 04:28:17,142076_CREV Consultancy Pte Ltd,Misc,recurring,2123.464,26.9755766,55.210064, crev consultancy  ,"['crev', 'consultancy']",crev consultancy
2277,230b086e418f1bcb544450ed2c384159,,2024-05-20 15:03:02,97759_Yu Yi Optic LLP,Misc,recurring,7583.8,40.5278272,140.3003, yu yi optic ,"['yu', 'yi', 'optic']",yu yi optic
2356,89e7a2f508adcdf2eec14a6951c4976e,,2024-07-29 15:02:51,210411_FLYWIRE (SINGAPORE) PTE. LTD.,Misc,recurring,1782.193,9.6086746,32.9743624, flywire   ,['flywire'],flywire
2375,73c5d15c2e3e176b4374d2e714a86b55,,2024-09-23 15:00:43,236651_SG International Solutions Pte. Ltd.,Misc,recurring,4739.875,23.4263582,85.31775, sg international solutions  ,"['sg', 'international', 'solutions']",sg international solutions
2468,6caf9c897d00e242d7c0bd493b23b353,,2024-08-28 04:08:22,235760_SAMMO PTE LTD,Misc,recurring,4867.2221696,26.4598782,90.0424574, sammo  ,['sammo'],sammo
2517,5f847fb80957396c537c8308dd58b092,,2024-06-18 04:03:38,47912_The American Club ,Misc,recurring,1137.57,3.2762016,18.20112, the american club ,"['american', 'club']",american club
2581,b1896049d5fc59910de61231756416d0,,2023-11-08 04:07:45,142327_CHEONG TAILOR,Misc,recurring,1516.76,7.2576966,27.30168, cheong tailor,"['cheong', 'tailor']",cheong tailor
