,DWH_CARDUP_PAYMENT_ID,CARDUP_PAYMENT_CUSTOMER_COMPANY_ID,CARDUP_PAYMENT_SUCCESS_AT_UTC_TS,CARDUP_PAYMENT_PAYEE_NAME,CARDUP_PAYMENT_PAYMENT_TYPE,CARDUP_PAYMENT_SCHEDULE_TYPE,CARDUP_PAYMENT_USD_AMT,CARDUP_PAYMENT_NET_REVENUE_USD_AMT,CARDUP_PAYMENT_TOTAL_REVENUE_USD_AMT,PAYEE_NAME_WITH_SPACES,tokens,tokens_corpus
6315,9262dd897049c8deeb3d4fa9f0ea02fa,,2024-10-18 04:02:20,74094_Mercedes-Benz Fleet Management Singapore Pte Ltd,Misc,recurring,2688.495019,33.9299212,69.8998846, mercedesbenz fleet management   ,"['mercedesbenz', 'fleet', 'management']",mercedesbenz fleet management
6331,833962700abc2eafd927c474f358c1f3,,2024-09-20 10:00:52,232675_GYMWITHJONES PTE. LTD,Misc,recurring,1911.1176,10.313968,35.3556756, gymwithjones  ,['gymwithjones'],gymwithjones
6372,ef320c2e42ff5f739b9a7759fd3e6ca2,,2023-11-21 04:18:29,74094_Mercedes-Benz Fleet Management Singapore Pte Ltd,Misc,recurring,2663.8325014,14.1513708,49.2795324, mercedesbenz fleet management   ,"['mercedesbenz', 'fleet', 'management']",mercedesbenz fleet management
6378,2f4d34146df3e074bda9ab068bff5a1c,,2024-08-30 10:01:11,226991_NASAR VENTURES,Misc,recurring,2654.33,-8.1450012,53.0866, nasar ventures,"['nasar', 'ventures']",nasar ventures
6390,8cc5d6d62f599e25a066c406ea40653d,,2024-01-11 04:02:52,76308_VINCAR LEASING AND RENTAL PTE LTD,Misc,recurring,3264.8259,17.3744858,60.3973832, vincar leasing and rental  ,"['vincar', 'leasing', 'rental']",vincar leasing rental
6406,fa322fc7e5e9f1eb13177ff0e844ae38,,2023-10-20 15:00:28,145478_Yew Mei Decoration Contractor ,Misc,recurring,7583.8,39.7618634,140.3003, yew mei decoration contractor ,"['yew', 'mei', 'decoration', 'contractor']",yew mei decoration contractor
6416,1dbfd6d7517008c5fe074d5d1819bf80,,2024-02-20 04:19:34,142076_CREV Consultancy Pte Ltd,Misc,recurring,2123.464,26.9755766,55.210064, crev consultancy  ,"['crev', 'consultancy']",crev consultancy
6428,6ae8b2031c6882b61997ba613233de88,,2024-03-19 04:12:45,47912_The American Club ,Misc,recurring,1137.57,3.1624446,18.20112, the american club ,"['american', 'club']",american club
6443,4932b2fecee3579b92d1c13b07c0ffbc,,2024-05-23 10:00:57,201058_RED ALPHA CYBERSECURITY PTE. LTD,Misc,recurring,7583.8,40.5278272,140.3003, red alpha cybersecurity  ,"['red', 'alpha', 'cybersecurity']",red alpha cybersecurity
6447,1bdba8139e8747ba540cd279196f3ca9,,2024-10-07 07:01:38,246854_YC VENTURES PTE. LTD,Misc,recurring,2275.14,11.8534794,42.09009, yc ventures  ,"['yc', 'ventures']",yc ventures
6455,b4d41ca56c85838b3c3a7a88e00ed6d5,,2024-09-20 12:45:04,213615_Thong Teck Home For Senior Citizens,Misc,recurring,2047.626,11.0571804,37.881081, thong teck home for senior citizens,"['thong', 'teck', 'home', 'senior', 'citizens']",thong teck home senior citizens
6457,7547b0053fd5377d5f5f8ac0f4e7e4eb,,2024-09-03 04:16:04,211983_FWD Singapore Pte. Ltd.,Misc,recurring,1516.76,8.1601688,28.06006, fwd   ,['fwd'],fwd
6487,62c9bb18365a2431e2546175967a9fb3,,2024-10-08 04:30:46,239699_PKS FURNITURE  & WOODWORKS,Misc,recurring,6067.04,33.0198652,112.24024, pks furniture   woodworks,"['pks', 'furniture', 'woodworks']",pks furniture woodworks
6503,a1454566180a5c39cbe77e48812ee5b8,,2024-10-10 07:02:28,76308_VINCAR LEASING AND RENTAL PTE LTD,Misc,recurring,4844.379764,26.3385374,89.6177646, vincar leasing and rental  ,"['vincar', 'leasing', 'rental']",vincar leasing rental
6610,d85e7ab520034659fbfe773d7ac8cb32,,2024-10-08 10:06:08,137852_SIPM CONSULTANTS PTE. LTD.,Misc,recurring,5072.5232194,15.0614268,81.1618276, sipm consultants  ,"['sipm', 'consultants']",sipm consultants
6623,181df2fdc49320fd8ed960c60b33711b,,2024-08-19 16:30:06,233230_JET E MOTOR TRADING,Misc,recurring,13650.84,74.5184188,252.54054, jet e motor trading,"['jet', 'e', 'motor', 'trading']",jet e motor trading
6636,35c3030e8ec88591a6372bd5dea14157,,2023-10-03 04:08:05,137852_SIPM CONSULTANTS PTE. LTD.,Misc,recurring,5025.9890226,13.9086892,80.4186152, sipm consultants  ,"['sipm', 'consultants']",sipm consultants
6653,89e5b7e8821f59557456d2282a82db0f,,2024-06-18 04:19:49,211983_FWD Singapore Pte. Ltd.,Misc,recurring,1516.76,8.1601688,28.06006, fwd   ,['fwd'],fwd
6686,ac370bf88293278556f540aca94c4b80,,2024-02-27 04:01:49,78590_Kinto Singapore Pte Ltd,Misc,recurring,2056.6658896,26.126191,53.4733738, kinto   ,['kinto'],kinto
6688,f0ed8db2c5c9dbe303e7e42bd83f2edb,,2024-06-30 16:01:03,50776_ SINGAPORE FURNITURE RENTAL PTE. LTD.,Misc,recurring,4944.6376,13.7570132,111.254346,   furniture rental  ,"['furniture', 'rental']",furniture rental
6700,cabd8def3877421ef4ca27e0ed755e0e,,2024-09-06 10:00:41,236651_SG International Solutions Pte. Ltd.,Misc,recurring,4739.875,23.433942,85.31775, sg international solutions  ,"['sg', 'international', 'solutions']",sg international solutions
6715,f3e55befb49c98f489d29b137584770a,,2024-07-05 10:00:46,154395_MAPLEBEAR PLAYWORKS @ CBP PTE. LTD.,Misc,recurring,1243.894876,6.6661602,23.0092492, maplebear playworks  cbp  ,"['maplebear', 'playworks', 'cbp']",maplebear playworks cbp
6724,061aac648c432438f18aab58f1dda972,,2023-10-24 04:06:54,22126_Pats School House Pte Ltd,Misc,recurring,1801.91088,22.6907296,46.8527164, pats school house  ,"['pats', 'school', 'house']",pats school house
6740,55156e4472e5a9cff05c938edc3514ea,,2024-01-09 04:14:19,142327_CHEONG TAILOR,Misc,recurring,1516.76,7.2576966,27.30168, cheong tailor,"['cheong', 'tailor']",cheong tailor
6768,c4f255cc5db72a22f36659e1a0dbd4e4,,2024-04-01 02:26:26,17463_Ibraco Bhd,Misc,recurring,10890.3368,91.93840133296,174.2453888, ibraco ,['ibraco'],ibraco
6783,f858c0b309c14cb53874a83ada4fa64e,,2024-10-14 15:02:56,249749_Nanyang Psychology Academy Pte Ltd,Misc,recurring,1310.48064,-6.5448194,23.585618, nanyang psychology academy  ,"['nanyang', 'psychology', 'academy']",nanyang psychology academy
